frequency,cycle,realIMP,imIMP,label
7.69938,257.0,1.17595,0.05237,2250
119.65823,127.0,0.73752,0.16072,1088
844.16178,100.0,0.54138,0.11172,1296
2.29253,249.0,0.99126,0.13819,1626
252.56301,83.0,0.5632,0.09002,1109
4.0573,12.0,1.0749,0.07815,2424
0.4555,82.0,1.29289,0.42015,871
40.43781,48.0,0.77737,0.05668,1760
12.02283,148.0,1.62559,0.08579,1995
0.01999,179.0,1.18808,0.09951,61
2.75629,30.0,1.24105,0.21114,19
6.57349,219.0,1.14658,0.12517,2387
0.01999,50.0,1.67935,0.16737,1089
0.01999,199.0,1.5058,0.14939,1730
22.05526,283.0,0.98094,0.17506,2289
31.81177,166.0,0.70136,0.07554,2137
5696.77695,173.0,0.31275,0.01535,1154
1163.59304,261.0,0.61793,0.11304,375
682.81192,162.0,0.48075,0.0865,1187
0.01999,33.0,1.46273,0.27224,844
245.56855,200.0,0.72478,0.26555,598
0.01999,174.0,1.00851,0.20943,669
10.21457,210.0,1.08061,0.0719,2260
11.64735,254.0,0.93564,0.27599,867
4174.66565,63.0,0.34756,0.08988,908
11.45048,177.0,0.84857,0.26636,377
10.59603,244.0,1.20165,0.12417,2432
20004.453,177.0,0.47946,0.00174,1774
0.01999,25.0,1.24837,0.09022,1844
363.7777,242.0,0.56232,0.13377,2402
15799.24974,237.0,0.37286,-0.00418,2408
274.63437,45.0,0.67489,0.07957,2282
2078.9403,178.0,0.58565,0.05352,2030
2610.37925,130.0,0.46911,0.08971,607
5.50377,46.0,0.88226,0.14532,974
4.6088,168.0,1.46473,0.16662,252
352.17679,253.0,0.53451,0.14036,2346
1987.68962,100.0,1.45339,0.1788,185
10.77091,70.0,0.98465,0.19328,60
50.93868,65.0,0.65523,0.28345,1630
0.01999,38.0,0.56347,0.04666,1864
16.58394,139.0,0.97544,0.2423,1223
2362.52086,12.0,0.42604,-0.00996,1961
0.01999,29.0,1.38747,0.29708,673
3088.84112,4.0,0.31291,0.07318,926
0.01999,101.0,0.98947,0.50433,1245
12.95878,3.0,0.73339,0.23527,1882
2214.72568,138.0,0.36749,0.04262,2212
0.01999,35.0,1.26408,0.80522,712
183.43838,64.0,0.68634,0.1673,830
141.2722,121.0,0.61663,0.1243,1646
19.17261,35.0,0.91061,0.22202,1510
0.01999,232.0,1.3283,0.05533,255
199.23405,131.0,0.67783,0.16271,90
0.01999,218.0,1.06499,0.08468,2079
0.11591,55.0,1.07559,0.69965,1757
1.83725,184.0,1.98264,0.19501,1580
0.01999,26.0,1.43261,0.1974,1636
2286.64091,100.0,0.55822,0.0718,2309
0.01999,35.0,1.21273,0.13115,948
16.72619,227.0,0.94632,0.23039,556
6573.35103,84.0,0.28785,0.05123,1133
1.46879,291.0,1.37644,0.10291,405
5.77309,82.0,1.42587,0.13568,560
0.07694,350.0,0.98765,0.17662,2200
0.1067,59.0,0.95522,0.11345,513
8.89548,67.0,0.73066,0.183,916
0.01999,284.0,2.29262,0.14052,404
89.46987,34.0,0.64015,0.07595,379
143.46487,145.0,0.64604,0.08664,1430
3496.36711,40.0,0.4796,0.0737,995
0.86321,258.0,1.14222,0.17991,2479
629.26889,234.0,0.51679,0.25176,826
32.89685,171.0,0.95369,0.22477,961
0.01999,235.0,1.25859,0.2043,823
0.01999,23.0,1.189,0.09769,1743
2507.59222,39.0,0.42416,0.10662,313
0.01999,55.0,1.33875,0.14819,1079
3498.56296,100.0,0.55797,0.05342,1585
25.73033,11.0,0.75604,0.20135,1080
2147.69841,72.0,0.64707,0.05928,1206
2.96927,269.0,1.218,0.85,828
6.31202,7.0,1.18241,0.06132,1217
72.9856,195.0,0.74914,0.23555,1038
47.67959,79.0,0.90996,0.09436,2081
0.01999,215.0,1.11937,0.11929,1387
618.43962,224.0,0.56696,0.14713,389
128.6093,338.0,0.92888,0.18541,360
18.128,161.0,0.92064,0.23971,1906
7.41437,48.0,1.49193,0.09282,614
2531.56303,230.0,0.39575,0.06126,2498
19870.29579,204.0,0.38935,-0.03133,2213
0.01999,283.0,1.24496,0.10184,2440
34.9852,107.0,0.71358,0.14991,45
4.63612,184.0,1.04453,0.08393,1719
26.69791,62.0,0.79198,0.07049,1755
38.75772,11.0,0.87957,0.21765,1499
171.1736,30.0,0.6562,0.09913,108
2552.01785,164.0,0.39054,0.02419,807
7807.9318,12.0,0.40444,0.06911,731
199.2577,33.0,0.72297,0.06147,1875
96.06945,45.0,0.69469,0.08515,1217
101.93601,118.0,0.7701,0.23025,708
0.01999,169.0,1.33852,0.13925,876
0.01999,171.0,0.85323,0.0992,2067
20.54018,242.0,1.01265,0.39894,200
5.47288,9.0,0.99199,0.12696,1295
2.1439,258.0,1.10845,0.36396,222
6.56528,70.0,0.98811,0.06499,8
105.65701,11.0,0.46435,0.11083,1596
78.34439,305.0,0.56388,0.23594,225
1747.84523,167.0,0.64718,0.08038,1748
51.49547,62.0,0.72869,0.1129,2138
3.93753,119.0,1.32418,0.4787,708
0.01999,237.0,1.56007,0.11602,1747
3072.49605,284.0,0.39359,0.05903,422
2039.68361,62.0,0.66165,0.11371,1267
0.01999,237.0,1.08292,0.27039,2363
0.01999,300.0,1.38431,0.95579,405
19.6114,20.0,0.97942,0.23456,1596
4433.90812,164.0,0.35125,0.09536,709
19.52753,109.0,0.75627,0.17393,2013
16085.28172,277.0,0.2934,-0.00155,681
867.62309,227.0,0.56518,0.21635,1258
12799.3715,149.0,0.29669,-0.00493,2188
8.62332,54.0,0.6858,0.08956,1625
522.0361,273.0,0.5483,0.07475,437
3714.96846,187.0,0.38067,0.08536,419
0.01999,66.0,1.06926,0.19317,981
2.35873,332.0,2.02553,0.50548,1735
55.27939,148.0,0.67681,0.21778,286
0.01999,91.0,1.0846,0.16277,1171
0.77169,40.0,1.25689,0.06963,1733
26.79241,102.0,0.83495,0.31373,945
0.01999,135.0,1.02158,0.11061,1202
4.09021,275.0,0.69471,0.09362,2048
1932.62151,93.0,0.7442,0.05114,1167
0.66624,229.0,1.34428,0.27609,1240
3022.83076,24.0,0.39175,0.05927,2397
101.34519,193.0,0.66055,0.19466,1121
112.26133,216.0,0.62543,0.0966,1987
573.24737,173.0,0.63091,0.10502,2444
3665.21449,121.0,0.41768,0.06968,2377
12685.7192,1.0,0.33229,-0.04549,1638
113.17846,184.0,0.78568,0.22877,1294
1.6821,181.0,0.56337,0.12619,2360
20004.453,4.0,0.31785,-0.0009,944
289.64177,152.0,0.40324,0.05661,782
24.25326,30.0,1.20006,0.09832,1775
0.19203,108.0,1.41046,0.14245,1820
83.19028,15.0,0.79952,0.22216,1065
6431.97358,181.0,0.308,0.03818,1283
3.18121,110.0,1.1946,0.26237,1297
0.01999,141.0,1.01655,0.03257,2232
3707.68201,32.0,0.34264,0.10322,1339
6.39982,80.0,1.11672,0.34278,1077
30.35595,25.0,0.72641,0.23322,2048
3.31314,34.0,1.38141,0.0825,608
0.01999,11.0,1.47457,0.25205,1651
0.01999,127.0,1.10693,0.25834,1276
0.01999,56.0,0.91188,0.09092,1849
381.77731,113.0,0.72921,0.04982,2222
3.14102,167.0,1.35471,0.07065,1913
1641.99437,109.0,0.57331,0.07474,1973
7.39254,151.0,0.94306,0.10312,2299
9.08432,118.0,0.88006,0.06463,2070
4.93386,53.0,1.42416,0.27024,1518
2595.33079,56.0,0.42626,0.02403,1327
3403.16257,19.0,0.51619,0.06127,1122
4718.71013,135.0,0.46194,0.04904,797
0.01999,153.0,1.45862,0.12394,840
82.31125,97.0,0.70774,0.09352,1373
201.04024,114.0,0.60369,0.24383,36
35.90009,270.0,0.71009,0.65486,173
1747.16057,220.0,0.60568,0.09352,2474
3.3451,196.0,1.02812,0.05431,741
0.01999,202.0,1.04023,0.10394,716
7.80702,23.0,1.21526,0.10973,1336
94.30039,152.0,0.65756,0.23425,92
687.93361,175.0,0.45412,0.1196,2500
8.62808,39.0,0.91562,0.29098,1733
5.37284,58.0,1.39965,0.0551,1434
12567.23042,72.0,0.37365,-0.01113,339
0.01999,150.0,1.43282,0.38226,1301
2273.13792,182.0,0.40968,0.11682,2264
0.01999,6.0,1.36424,0.09897,1254
2891.26604,280.0,0.53708,0.05821,290
183.29407,141.0,0.76778,0.14327,2410
0.01999,4.0,1.08605,0.03731,2215
2.47408,91.0,0.91068,0.2247,1953
0.48716,150.0,1.50774,0.17533,1666
52.16915,75.0,0.65648,0.16932,2319
765.31548,10.0,0.47688,0.07149,475
0.01999,81.0,1.39954,0.39601,699
15.6548,27.0,0.9626,0.06683,1701
4.75006,126.0,0.94681,0.07813,2297
0.01999,161.0,1.19167,0.09649,760
15598.77211,255.0,0.37416,0.00886,2384
495.82543,18.0,0.53737,0.11585,23
21.20824,166.0,0.82121,0.28021,1591
0.01999,68.0,0.7904,0.1114,2129
613.73202,36.0,0.36474,0.14699,648
3091.731,199.0,0.46449,0.02583,1602
27.86486,277.0,0.94576,0.05198,2430
5.31546,6.0,1.06215,0.26506,652
0.01999,41.0,1.05821,0.17311,554
39.2751,33.0,0.66742,0.15897,1089
213.99792,136.0,0.6166,0.24736,80
89.33941,225.0,0.725,0.11446,2374
533.03118,275.0,0.394,0.06263,1425
0.01999,108.0,0.99219,0.18177,1447
0.01999,295.0,1.55661,0.4615,384
17.77634,169.0,0.92871,0.30224,618
15780.65107,16.0,0.33271,0.03867,1944
20004.453,158.0,0.33727,-0.05647,348
6193.71463,21.0,0.35932,0.05758,970
0.01999,4.0,0.94161,0.03348,1866
4.88695,288.0,1.4207,0.72637,1901
9828.92218,27.0,0.38913,8e-05,1183
21.57963,248.0,0.89817,0.28615,636
3017.35998,73.0,0.42087,0.03836,1576
0.01999,21.0,1.30432,0.26845,1650
195.44633,89.0,0.73057,0.14042,215
15742.54375,165.0,0.43699,0.02063,2470
0.01999,179.0,1.46553,0.12618,524
6.12715,104.0,1.18694,0.10751,188
0.01999,236.0,1.66929,0.09979,2500
0.01999,204.0,1.32655,0.17349,1027
1810.65999,3.0,1.53555,0.0903,941
2225.14237,181.0,0.52679,0.09225,1904
1320.93156,28.0,0.6076,0.07416,990
52.63784,179.0,0.73826,0.08571,2263
9.91636,87.0,1.02515,0.13396,1717
4.90496,1.0,1.00093,0.09228,1302
0.01999,79.0,1.25034,0.20686,1771
108.19817,172.0,0.44799,0.10033,2279
20.24103,132.0,0.82373,0.24909,1038
2838.18154,8.0,0.34735,0.0278,38
0.01999,257.0,1.00699,1.02869,752
220.68627,24.0,0.65358,0.11191,644
2327.76935,111.0,1.35717,0.0104,364
10.22069,94.0,1.5283,0.29128,1644
0.01999,44.0,0.61034,0.16059,470
4.04211,8.0,0.53957,0.10597,858
685.42407,87.0,0.55531,0.15627,1281
9.32786,189.0,0.83516,0.10005,2257
2542.04404,264.0,0.64039,0.05329,2394
0.01999,155.0,1.00398,0.11268,2247
3247.06804,176.0,0.51327,0.05646,945
0.01999,58.0,0.64991,0.08171,94
1731.96424,214.0,0.51042,0.02167,2367
12.17009,66.0,0.67487,0.19013,1552
0.25045,52.0,0.97855,0.30684,1490
16242.60647,77.0,0.25834,0.02759,2235
0.01999,67.0,1.4435,0.40099,847
0.01999,245.0,1.22624,0.16691,1083
37.62198,47.0,0.79829,0.19534,0
0.01999,89.0,1.23754,0.09716,1676
241.70378,312.0,0.75213,0.32196,141
17.81942,15.0,0.83384,0.30824,1239
1791.74985,23.0,0.51253,0.10717,705
4.89437,13.0,1.32477,0.08049,769
222.51408,141.0,0.55178,0.23993,1123
20004.453,110.0,0.24342,-0.07417,112
15861.75454,315.0,0.35165,0.00043,2345
21.96249,83.0,0.80768,0.19706,15
0.01999,12.0,1.82204,0.09671,1155
85.76549,245.0,0.67781,0.19254,593
0.01999,217.0,1.17905,0.1145,1189
2015.19289,117.0,0.63707,0.05451,747
1.77617,203.0,1.45416,0.12583,713
4.98347,220.0,1.42546,0.36059,1672
0.01999,219.0,1.42357,0.19825,928
0.01999,149.0,1.34072,0.08187,523
0.01999,95.0,1.54448,0.07923,1342
28.454,200.0,0.68069,0.25211,1733
779.32195,43.0,0.46716,0.10158,1131
2244.35102,135.0,0.43145,0.14359,1098
484.54532,100.0,0.56805,0.12367,1285
0.01999,257.0,1.75857,0.47556,1800
7.47244,161.0,0.64301,0.24119,855
26.42278,64.0,0.8777,0.23683,2023
5196.04529,13.0,0.40421,0.02827,996
7897.92098,299.0,0.2985,0.05273,390
0.01999,49.0,0.87649,0.11777,2198
0.01999,316.0,1.54096,0.69307,513
28.52178,152.0,0.92595,0.2727,1692
4967.98891,50.0,0.40289,0.06774,972
3.63564,128.0,1.16776,1.09795,869
39.31823,160.0,0.69331,0.2165,1586
0.01999,136.0,1.63477,0.22636,116
2702.20973,84.0,0.60284,0.05155,348
0.01999,61.0,1.39628,0.08409,1122
10210.2212,123.0,0.29657,0.00441,1392
362.97536,284.0,0.69393,0.11483,2412
5.21973,276.0,1.11661,0.06107,2474
0.01999,80.0,1.55863,0.11205,730
9895.57036,87.0,0.34806,0.00868,402
8.00072,38.0,0.9421,0.22754,1038
1755.04871,101.0,0.40025,0.11132,1120
0.01999,49.0,1.022,0.13806,141
0.37576,98.0,1.36386,0.07088,1148
8.30171,174.0,1.435,0.39108,909
0.01999,134.0,1.26982,0.11684,1613
0.01999,23.0,1.05406,0.05785,2135
0.01999,194.0,1.7162,0.40298,1636
15918.24428,108.0,0.31305,-0.00538,667
0.01999,113.0,1.47609,0.06511,1071
0.01999,230.0,1.30241,0.37917,645
0.01999,13.0,1.14045,0.05098,2465
8.56893,330.0,1.22383,0.16937,413
0.01999,86.0,1.12109,0.05865,2436
6.09932,91.0,1.79801,0.26972,1105
256.36112,78.0,0.49922,0.08831,2459
25.21003,292.0,1.01101,0.25048,2396
0.01999,52.0,1.39668,0.14568,172
8.28786,271.0,1.09278,0.41007,234
7.92891,112.0,1.13242,0.05932,2349
2.23678,140.0,1.57911,0.22181,1451
245.59963,200.0,0.52307,0.09206,2306
0.01999,70.0,1.38281,0.0552,74
155.0549,242.0,0.57228,0.16449,1467
263.03021,181.0,0.52757,0.00874,2402
10096.11676,121.0,0.35783,0.03222,86
0.01999,32.0,1.33312,0.2523,53
1890.19458,274.0,0.62277,0.06533,2459
7.61796,177.0,1.33784,0.29457,730
2793.86102,82.0,0.4504,0.07106,525
68.13747,75.0,0.68534,0.19039,1768
0.01999,217.0,1.18046,0.12051,1846
0.01999,293.0,0.49971,0.12493,477
10245.72682,116.0,0.28541,0.00625,1524
8.20848,56.0,1.38861,0.2545,1699
32.81672,172.0,1.07352,0.21136,1180
56.62797,213.0,0.79016,0.15636,626
270.74989,53.0,0.64383,0.18005,682
185.88005,49.0,0.63388,0.14915,1306
502.99352,273.0,0.5214,0.03986,2355
1862.38131,279.0,0.54104,0.04699,2117
2.26927,107.0,0.75891,0.19406,1207
6.04181,212.0,1.04967,0.07798,2190
51.07476,111.0,0.68573,0.08163,2137
3.26239,287.0,1.17424,0.99481,1099
0.01999,94.0,1.84929,0.11462,1236
0.01999,38.0,1.45417,0.33672,803
23.71581,223.0,0.81322,0.15077,2045
176.31485,28.0,0.72471,0.16299,1861
0.01999,34.0,1.09047,0.27486,475
10.50795,298.0,1.01815,0.22957,2303
6.95398,63.0,1.30089,0.16451,1770
0.01999,62.0,1.45813,0.92912,1652
14.64375,152.0,0.8683,0.05619,2169
1.68676,185.0,1.17765,0.10976,2242
6330.93122,46.0,0.46122,0.04556,1703
0.01999,55.0,1.40444,0.93699,1739
2.16196,6.0,1.04471,0.19233,1563
3887.52381,6.0,0.45421,0.0522,1284
0.01999,10.0,1.35734,0.29572,1693
10.17473,2.0,0.62381,0.10095,1791
43.03402,176.0,0.66333,0.16852,1326
0.01999,208.0,1.71749,-0.42089,532
14.86835,38.0,0.82609,0.05132,2152
426.6569,28.0,0.58672,0.05152,2166
3.7767,160.0,1.15344,0.23238,2464
0.01999,92.0,1.49988,0.58012,1221
1544.55341,113.0,0.52021,0.03615,2041
10.88214,33.0,1.30677,0.20716,1644
12726.51545,8.0,0.27982,0.00364,1325
0.01999,47.0,1.32522,0.11134,1618
17.36001,157.0,0.84822,0.14611,381
8.42565,94.0,1.60971,0.3598,1818
0.01999,29.0,0.79509,0.14076,490
2432.47405,123.0,0.40987,0.01911,1272
318.68564,107.0,0.74388,0.12062,269
977.95542,68.0,0.4947,0.09127,2211
3.24232,218.0,0.94868,0.15801,2408
0.01999,15.0,1.04668,0.05724,99
0.01999,254.0,1.03024,0.48281,1271
9.86232,329.0,1.99618,0.30069,245
8.22882,33.0,0.89213,0.21332,1265
4.90801,109.0,0.74474,0.04363,2294
771.68566,60.0,0.41624,0.16016,1206
0.01999,99.0,1.61933,0.14985,1516
15814.46361,133.0,0.44097,0.06141,2129
8.12223,114.0,1.30339,0.1053,1646
0.01999,101.0,1.57521,0.31459,1103
6372.96198,108.0,0.49567,0.05228,1377
0.01999,10.0,1.00132,0.27906,508
0.01999,283.0,1.15296,0.13212,122
0.01999,83.0,1.53429,0.12238,2138
702.85066,19.0,0.59743,0.16112,1081
0.47945,13.0,1.36336,0.19844,88
22.36006,101.0,0.91003,0.2311,1091
46.93499,207.0,0.63674,0.14,1142
3.19349,54.0,1.0938,0.11758,1668
2220.8936,110.0,0.74756,0.05818,1119
8.06932,103.0,1.16286,0.09639,230
28.28776,139.0,0.81194,0.15292,2191
2.66423,221.0,1.28748,0.06077,251
0.01999,91.0,1.50581,0.16838,405
39.6156,135.0,0.72446,0.0379,452
143.38048,9.0,0.52274,0.14182,614
0.44738,171.0,1.20897,0.179,615
0.01999,50.0,0.95052,0.23273,1807
2691.83235,58.0,0.58603,0.09636,631
1255.07261,180.0,0.42488,0.08251,130
249.12626,243.0,0.56329,0.1847,1260
1018.90417,187.0,0.54578,0.04219,1947
145.24595,43.0,1.64473,0.23824,353
15.96861,228.0,0.89605,0.28659,1000
5043.34371,165.0,0.31475,0.06226,935
85.4227,64.0,0.63617,0.13391,931
1497.10568,306.0,0.69616,0.06786,2447
82.31955,272.0,0.56725,0.18379,2140
32.69666,40.0,0.80945,0.19253,144
11.67524,202.0,1.08115,0.09203,1384
11.18761,265.0,0.70586,0.20857,488
19830.43908,8.0,0.43654,0.0054,78
6282.11395,120.0,0.38887,-0.0339,1329
4.55811,271.0,0.81704,0.06562,259
3.79789,327.0,1.1684,0.30639,2140
0.01999,90.0,1.43246,0.11568,1278
675.28748,91.0,0.54252,0.14707,676
1.77748,66.0,1.32701,0.09743,640
5.67666,81.0,1.20657,0.35599,1667
15758.22561,183.0,0.34775,0.03073,2388
6.5666,109.0,0.90024,0.14565,1113
0.01999,288.0,2.09021,0.73561,2178
35.08198,56.0,0.63296,0.27357,39
36.76909,106.0,0.78534,0.23231,17
2.13867,8.0,1.27144,0.27513,1225
4.74121,279.0,1.37176,0.15534,2417
12680.47618,54.0,0.38684,0.09342,989
7.05272,198.0,0.84666,0.07307,2041
1.64638,73.0,1.39933,0.16166,1246
6392.04375,97.0,0.40287,0.02483,737
4.41754,209.0,0.70389,0.20312,318
239.82593,136.0,0.5074,0.07992,1954
0.01999,37.0,1.84499,0.14044,1413
3.48033,276.0,0.92517,0.15418,2148
0.01999,84.0,1.11058,0.18651,1855
6.31228,243.0,1.50548,0.29344,442
0.01999,29.0,1.38242,0.11228,2195
2444.00737,230.0,0.48506,0.06989,2252
0.01999,34.0,1.40625,0.67674,2196
4315.69531,177.0,0.32812,0.04644,1394
2023.94784,198.0,0.55752,0.04241,341
3411.39689,227.0,0.4253,0.02169,865
1084.28931,36.0,0.45466,0.1642,946
0.01999,15.0,1.49443,0.24002,1883
0.01999,66.0,1.16904,0.07348,1330
0.01999,116.0,0.79832,0.08063,1909
17.30604,74.0,1.19365,0.14652,969
23.70682,151.0,0.81583,0.25029,596
10023.03772,106.0,0.35645,0.04434,1747
5.25694,233.0,1.0118,0.13697,760
13.77516,166.0,1.29169,0.26702,660
1.12808,33.0,1.26214,0.20844,1214
6242.50127,333.0,0.42192,0.0474,518
0.01999,262.0,1.69468,0.05803,2450
0.01999,60.0,0.98604,0.21625,1550
2.52752,314.0,1.48112,0.07335,681
2.60977,266.0,1.0475,0.28208,2400
3.71351,28.0,1.11196,0.04386,1590
46.67391,113.0,0.63034,0.2574,754
142.52334,278.0,0.52748,0.08417,2184
0.01999,252.0,1.22052,0.11348,611
978.71687,16.0,0.45998,0.08273,1275
1619.52542,76.0,0.48875,0.14266,930
0.01999,124.0,1.58339,0.04039,1055
0.01999,251.0,0.8499,0.02953,2137
0.01999,227.0,1.63583,0.16539,415
0.01999,102.0,1.35261,0.0668,114
23.46919,77.0,0.79757,0.0898,2268
567.2922,86.0,0.65736,0.07978,1249
2780.74937,123.0,0.37801,0.02216,2410
4123.25815,3.0,0.36293,0.04773,154
15961.22454,145.0,0.24292,-0.03877,2297
6.9149,125.0,0.86004,0.22796,776
27.29957,42.0,0.32982,0.09985,1829
28.4035,92.0,0.76579,0.05454,1774
4.66129,36.0,1.46145,0.23387,469
2274.31317,1.0,0.57113,0.04633,1830
0.01999,117.0,1.04317,0.03669,2348
42.54757,237.0,0.8608,0.15015,632
20004.453,5.0,0.28933,-0.0747,1331
1768.24553,262.0,0.57279,0.0606,2436
16.70165,94.0,0.91011,0.15794,1292
0.01999,66.0,1.42568,0.24583,1233
1.75834,253.0,1.322,0.38649,1076
11.70184,262.0,1.02415,0.06829,2362
3.61496,87.0,1.56497,0.22605,1734
2.62833,59.0,1.11018,0.2008,1397
1952.92832,159.0,0.56075,0.08235,1792
4.71451,73.0,1.06129,0.76445,1810
0.01999,61.0,0.77797,0.09948,1829
0.01999,225.0,0.62351,0.06085,2423
226.61328,125.0,0.70766,0.07025,2041
0.01999,167.0,0.9617,0.26008,611
11.14369,206.0,1.15198,0.12086,2439
0.01999,281.0,0.53448,0.00144,2379
31.19566,29.0,0.86895,0.16737,1075
9.34025,262.0,0.94546,0.17156,2408
33.73103,292.0,0.95278,0.30305,155
124.36751,207.0,0.51835,0.16989,1230
6328.77783,154.0,0.35978,0.0169,993
18.94732,254.0,0.71267,0.08559,1684
0.01999,194.0,1.301,0.03531,519
164.39121,173.0,0.63425,0.16286,2248
5380.92566,201.0,0.3043,0.07667,1798
22.91866,209.0,0.87457,0.17345,2047
1.38722,329.0,0.90099,0.57901,2060
0.82221,3.0,1.4516,0.05172,1295
3.9706,172.0,1.24716,0.15725,711
371.80639,271.0,0.41315,0.22277,848
1193.97959,224.0,0.48754,0.11342,607
9.28095,186.0,0.8764,0.23444,468
5480.51713,241.0,0.53528,0.13261,1070
14.14918,57.0,1.03744,0.11203,1768
9.9917,37.0,0.82446,0.27555,1591
1349.78803,236.0,0.57595,0.0797,981
0.01999,126.0,1.12117,0.06825,2264
8.22344,335.0,0.77548,0.19172,377
15920.17505,260.0,0.51055,0.04034,2259
4707.48697,168.0,0.32635,0.09913,1023
237.36629,157.0,0.82976,0.107,1102
6.92784,70.0,0.88461,0.06113,183
300.1818,196.0,0.60565,0.15645,470
0.01999,194.0,1.45037,0.16098,1465
7837.52407,193.0,0.44967,-0.00065,287
0.01999,156.0,1.07375,0.204,141
0.75563,114.0,1.02413,0.07113,965
251.03664,36.0,0.58854,0.15979,1933
0.01999,65.0,0.68024,0.22324,1455
654.99458,221.0,0.63503,0.12027,2409
18.06403,76.0,0.92374,0.27266,2009
17.0493,106.0,0.68965,0.13274,2202
0.01999,92.0,1.47101,0.27816,689
0.01999,97.0,1.36117,0.14503,286
3157.43863,165.0,0.39401,0.02289,930
0.01999,26.0,1.0437,0.07987,70
2607.24962,189.0,0.34869,0.06263,283
801.83146,3.0,0.46494,0.14541,1085
868.25379,140.0,0.4711,0.15806,781
8.63268,225.0,0.82118,0.10544,2122
12347.26474,14.0,0.3853,-0.04288,1936
22.25912,52.0,0.79511,0.25208,1851
31.60702,253.0,0.64098,0.20907,1576
0.01999,56.0,1.10285,0.35232,1116
0.01999,63.0,1.38212,0.11376,0
2016.26297,85.0,0.37494,0.06858,1297
18.49691,53.0,1.36932,0.24025,902
7.75163,187.0,0.94472,0.11786,2355
0.01999,107.0,1.44067,0.09275,341
9.45315,71.0,0.78279,0.15856,1107
0.01999,67.0,1.21654,0.27349,1134
0.01999,81.0,1.06994,0.33964,1366
2602.75551,42.0,0.60084,0.17996,835
140.14909,215.0,0.57886,0.26179,1466
22.96466,103.0,0.92657,0.25297,404
0.87471,350.0,1.92753,0.29319,309
0.01999,199.0,1.02653,0.33482,1071
108.71158,14.0,0.81869,0.27232,14
0.01999,23.0,0.7542,0.06982,1664
15817.28027,49.0,0.35523,-0.0272,2149
12.93685,126.0,1.38799,0.23791,1860
2.23713,16.0,1.22115,0.15838,484
96.01284,279.0,0.7232,0.18612,2110
0.25974,188.0,1.12051,0.06532,720
